rule_id,category,name,count,chapter_count
jiang_construction,disposal,将 construction,8680,157
passive_bei,passive,被 passive,7725,158
ba_construction,disposal,把 construction,3387,137
concession_suiran_danshi,concession,虽然...但是/但/却...,2669,158
marker_shenzhi,emphasis,甚至/乃至...,1753,139
marker_guanyu_duiyu,topic_scope,关于/对于...,1073,139
concession_jiusuan_ye,concession,就算...也...,833,133
condition_ruguo_jiu,condition,如果...就...,803,138
marker_zhiyu,topic_shift,至于...,775,131
progressive_yue_yue,progressive_comparison,越...越...,743,137
concession_jibian_ye,concession,即便/即使...也...,728,138
viewpoint_dui_laishuo,viewpoint,对...来说/而言,661,136
viewpoint_zuowei,viewpoint,作为...,641,121
regardless_wulun_dou,regardless,无论/不管...都/也...,534,128
condition_zhiyao_jiu,condition,只要...就...,520,125
marker_faner,contrast,反而...,510,128
marker_zhibuguo,minimizing,只不过/不过是...,476,125
minimizing_eryi,minimizing,X而已,451,120
contrast_bushi_ershi,contrast_correction,不是...而是...,380,121
hypothesis_ruoshi,condition,倘若/假如/若是...,370,115
concession_napa_ye,concession,哪怕...也...,328,97
condition_zhiyou_cai,condition,只有...才...,314,105
additive_budan_erqie,additive,不但/不仅...而且/还...,304,119
marker_bingfei_weibi,negation_modal,并非/未必...,218,102
condition_yidan_jiu,condition,一旦...就/便...,215,101
marker_fouze,condition,否则...,206,95
minimizing_bale,minimizing,X罢了,199,84
definition_suowei,definition,所谓...,193,90
passive_bei_suo,passive,被...所...,175,82
emphatic_jiulian_ye,emphatic_even,就连X也/都Y,150,78
evidential_jushuo,evidential,据说/据悉/据了解,132,75
comparison_yu_x_xiangbi,comparison,与/和X相比,128,79
reason_zhisuoyi_shiyinwei,cause_reason,之所以...是因为...,123,72
marker_hekuang,addition,何况/更何况...,119,65
passive_wei_suo,passive,为...所...,100,64
cause_youyu_yinci,cause_reason,由于...因此/因而/所以...,76,54
parallel_yibian_yibian,parallel_action,一边...一边...,62,47
precaution_miande,precaution,免得/以免...,49,33
parallel_ji_you,parallel_attribute,既...又...,42,29
condition_chufei_fouze,condition,除非...否则...,30,23
preference_yuqi_buru,preference,与其...不如...,28,23
precaution_yifang,precaution,以防...,27,22
enumeration_yilai_erlai,enumeration,一来...二来...,24,21
concession_zaizenme_ye,concession_limit,再怎么...也/都...,20,16
comparison_biqi,comparison,比起X来,19,16
necessity_fei_buke,necessity,非X不可,14,12
preference_ningke_yebu,preference,宁可/宁愿...也不/也要...,9,9
