rule_id,category,name,count,chapter_count

passive_bei,passive,被 passive,597872,6807

jiang_construction,disposal,将 construction,544178,5397

ba_construction,disposal,把 construction,186396,6717

concession_suiran_danshi,concession,虽然...但是/但/却...,164794,5359

viewpoint_dui_laishuo,viewpoint,对...来说/而言,67891,4559

concession_jiusuan_ye,concession,就算...也...,56668,5047

concession_jibian_ye,concession,即便/即使...也...,54459,4487

concession_napa_ye,concession,哪怕...也...,47219,5271

viewpoint_zuowei,viewpoint,作为...,45163,4447

condition_ruguo_jiu,condition,如果...就...,43945,5150

regardless_wulun_dou,regardless,无论/不管...都/也...,42656,4568

contrast_bushi_ershi,contrast_correction,不是...而是...,40786,5240

minimizing_eryi,minimizing,X而已,38605,4559

condition_zhiyao_jiu,condition,只要...就...,36533,4786

additive_budan_erqie,additive,不但/不仅...而且/还...,19774,3749

passive_bei_suo,passive,被...所...,19047,3903

condition_yidan_jiu,condition,一旦...就/便...,17832,3864

definition_suowei,definition,所谓...,16821,3469

minimizing_bale,minimizing,X罢了,13666,3278

emphatic_jiulian_ye,emphatic_even,就连X也/都Y,13344,3027

passive_wei_suo,passive,为...所...,10527,3432

comparison_yu_x_xiangbi,comparison,与/和X相比,8894,3246

evidential_jushuo,evidential,据说/据悉/据了解,6480,2396

parallel_yibian_yibian,parallel_action,一边...一边...,3559,1964

condition_chufei_fouze,condition,除非...否则...,3148,1953

precaution_yifang,precaution,以防...,2308,1630

comparison_biqi,comparison,比起X来,1960,1445

necessity_fei_buke,necessity,非X不可,1424,1078

enumeration_yilai_erlai,enumeration,一来...二来...,735,618

parallel_yimian_yimian,parallel_action,一面...一面...,75,69
